"crusoenormaljustnouns" "lighthousejustnormalnouns"
"rain" 0.134808478988472 0.0633061644377621
"tent" 0.171997024916326 0
"earth" 0.139457047229453 0.0474796233283216
"knowledge" 0.13015991074749 0.0633061644377621
"lawn" 0 0.28487773996993
"lives" 0.111565637783563 0.0949592466566432
"tobacco" 0.125511342506508 0.0712194349924824
"wreck" 0.162699888434362 0.00791327055472027
"bed" 0.0697285236147267 0.158265411094405
"flowers" 0.00464856824098178 0.269051198860489
"glass" 0.0790256600966902 0.142438869984965
"goat" 0.162699888434362 0
"purpose" 0.148754183711417 0.0237398116641608
"rocks" 0.111565637783563 0.0870459761019229
"want" 0.15805132019338 0.00791327055472027
"weather" 0.144105615470435 0.0316530822188811
"books" 0.0278914094458907 0.221571575532167
"difficulty" 0.139457047229453 0.0316530822188811
"hedge" 0.0743770918557084 0.142438869984965
"love" 0.00929713648196356 0.253224657751049
"season" 0.144105615470435 0.0237398116641608
"brazils" 0.153402751952399 0
"england" 0.116214206024544 0.0633061644377621
"habitation" 0.153402751952399 0
"shape" 0.0464856824098178 0.182005222758566
"soul" 0.116214206024544 0.0633061644377621
"garden" 0.0139457047229453 0.229484846086888
"goats" 0.144105615470435 0.00791327055472027
"money" 0.13015991074749 0.0316530822188811
"name" 0.0976199330606173 0.0870459761019229
"plantation" 0.148754183711417 0
"tools" 0.13015991074749 0.0316530822188811
"bay" 0.0325399776868724 0.189918493313286
"bear" 0.139457047229453 0.00791327055472027
"design" 0.13015991074749 0.0237398116641608
"person" 0.041837114168836 0.174091952203846
"t" 0.00929713648196356 0.229484846086888
"viz" 0.144105615470435 0
"woods" 0.144105615470435 0
"canvas" 0.0278914094458907 0.189918493313286
"care" 0.102268501301599 0.0633061644377621
"circumstances" 0.139457047229453 0
"escape" 0.120862774265526 0.0316530822188811
"hour" 0.102268501301599 0.0633061644377621
"miles" 0.0929713648196356 0.0791327055472027
"months" 0.134808478988472 0.00791327055472027
"noise" 0.13015991074749 0.0158265411094405
"son" 0.0650799553737449 0.126612328875524
"fellow" 0.116214206024544 0.0316530822188811
"point" 0.0929713648196356 0.0712194349924824
"canoe" 0.13015991074749 0
"desire" 0.0790256600966902 0.0870459761019229
"prisoners" 0.13015991074749 0
"spirits" 0.111565637783563 0.0316530822188811
"strength" 0.0976199330606173 0.0553928938830419
"wave" 0.041837114168836 0.150352140539685
"mouth" 0.106917069542581 0.0316530822188811
"need" 0.0604313871327631 0.110785787766084
"pounds" 0.106917069542581 0.0316530822188811
"brush" 0 0.205745034422727
"canoes" 0.120862774265526 0
"cargo" 0.120862774265526 0
"child" 0.0185942729639271 0.174091952203846
"feeling" 0.00464856824098178 0.197831763868007
"joy" 0.0743770918557084 0.0791327055472027
"line" 0.0464856824098178 0.126612328875524
"mountains" 0.0883227965786538 0.0553928938830419
"number" 0.0929713648196356 0.0474796233283216
"provisions" 0.116214206024544 0.00791327055472027
"skin" 0.106917069542581 0.0237398116641608
"state" 0.102268501301599 0.0316530822188811
"stock" 0.111565637783563 0.0158265411094405
"surprise" 0.116214206024544 0.00791327055472027
"castle" 0.116214206024544 0
"creek" 0.116214206024544 0
"distress" 0.111565637783563 0.00791327055472027
"dog" 0.0929713648196356 0.0395663527736013
"edge" 0.041837114168836 0.126612328875524
"hopes" 0.106917069542581 0.0158265411094405
"nobody" 0.041837114168836 0.126612328875524
"raft" 0.116214206024544 0
"sails" 0.0697285236147267 0.0791327055472027
"ships" 0.0883227965786538 0.0474796233283216
"ways" 0.0883227965786538 0.0474796233283216
"xury" 0.116214206024544 0
"apprehensions" 0.111565637783563 0
"dinner" 0.0139457047229453 0.166178681649126
"matter" 0.0511342506507996 0.102872517211363
"pleasure" 0.0604313871327631 0.0870459761019229
"quantity" 0.111565637783563 0
"quarter" 0.111565637783563 0
"relief" 0.0604313871327631 0.0870459761019229
"somebody" 0.0139457047229453 0.166178681649126
"spaniard" 0.111565637783563 0
"tears" 0.0697285236147267 0.0712194349924824
"boots" 0.00464856824098178 0.174091952203846
"chair" 0.0232428412049089 0.142438869984965
"chests" 0.106917069542581 0
"darkness" 0 0.182005222758566
"doubt" 0.083674228337672 0.0395663527736013
"drawing" 0 0.182005222758566
"experience" 0.0650799553737449 0.0712194349924824
"goods" 0.106917069542581 0
"hair" 0.0325399776868724 0.126612328875524
"rice" 0.106917069542581 0
"river" 0.0929713648196356 0.0237398116641608
"road" 0.0371885459278542 0.118699058320804
"shadow" 0.0232428412049089 0.142438869984965
"signs" 0.102268501301599 0.00791327055472027
"sympathy" 0 0.182005222758566
"watch" 0.0325399776868724 0.126612328875524
"bag" 0.0557828188917813 0.0791327055472027
"barley" 0.102268501301599 0
"basket" 0.0604313871327631 0.0712194349924824
"comfort" 0.0883227965786538 0.0237398116641608
"company" 0.083674228337672 0.0316530822188811
"eye" 0.0325399776868724 0.118699058320804
"grapes" 0.0929713648196356 0.0158265411094405
"guide" 0.0883227965786538 0.0237398116641608
"heat" 0.0883227965786538 0.0237398116641608
"ladder" 0.0929713648196356 0.0158265411094405
"leaf" 0.00929713648196356 0.158265411094405
"leaves" 0.00464856824098178 0.166178681649126
"letters" 0.0278914094458907 0.126612328875524
"lights" 0.00464856824098178 0.166178681649126
"mate" 0.0976199330606173 0.00791327055472027
"nancy" 0 0.174091952203846
"nation" 0.102268501301599 0
"pair" 0.0883227965786538 0.0237398116641608
"silence" 0.00464856824098178 0.166178681649126
"temper" 0.0464856824098178 0.0949592466566432
"terrace" 0.00464856824098178 0.166178681649126
"wolves" 0.102268501301599 0
"anchor" 0.0976199330606173 0
"bird" 0.0278914094458907 0.118699058320804
"chapter" 0.0929713648196356 0.00791327055472027
"doors" 0.0325399776868724 0.110785787766084
"fingers" 0.0139457047229453 0.142438869984965
"governor" 0.0976199330606173 0
"grass" 0.0139457047229453 0.142438869984965
"mile" 0.0929713648196356 0.00791327055472027
"month" 0.0790256600966902 0.0316530822188811
"negroes" 0.0976199330606173 0
"paper" 0.0185942729639271 0.134525599430245
"return" 0.083674228337672 0.0237398116641608
"soup" 0 0.166178681649126
"birds" 0.00464856824098178 0.150352140539685
"blood" 0.0790256600966902 0.0237398116641608
"discourse" 0.0929713648196356 0
"duty" 0.083674228337672 0.0158265411094405
"floor" 0.00929713648196356 0.142438869984965
"gold" 0.0464856824098178 0.0791327055472027
"hold" 0.0697285236147267 0.0395663527736013
"horror" 0.0743770918557084 0.0316530822188811
"legs" 0.0232428412049089 0.118699058320804
"seamen" 0.0929713648196356 0
"sky" 0.00929713648196356 0.142438869984965
"sort" 0.0232428412049089 0.118699058320804
"stakes" 0.0929713648196356 0
"summer" 0.0185942729639271 0.126612328875524
"weight" 0.0650799553737449 0.0474796233283216
"whole" 0.0464856824098178 0.0791327055472027
"advantage" 0.0883227965786538 0
"beasts" 0.0883227965786538 0
"colour" 0.0325399776868724 0.0949592466566432
"dream" 0.0511342506507996 0.0633061644377621
"fence" 0.083674228337672 0.00791327055472027
"fit" 0.0883227965786538 0
"guns" 0.0883227965786538 0
"hope" 0.0557828188917813 0.0553928938830419
"mankind" 0.0650799553737449 0.0395663527736013
"pity" 0.0232428412049089 0.110785787766084
"rum" 0.0883227965786538 0
"sleep" 0.0511342506507996 0.0633061644377621
"smoke" 0.0371885459278542 0.0870459761019229
"snow" 0.0743770918557084 0.0237398116641608
"tomorrow" 0 0.150352140539685
"cabin" 0.083674228337672 0
"circle" 0.0697285236147267 0.0237398116641608
"degree" 0.083674228337672 0
"devil" 0.083674228337672 0
"lisbon" 0.083674228337672 0
"lord" 0.0650799553737449 0.0316530822188811
"north" 0.0790256600966902 0.00791327055472027
"notion" 0.0650799553737449 0.0316530822188811
"pains" 0.0697285236147267 0.0237398116641608
"seed" 0.0790256600966902 0.00791327055472027
"shoulder" 0.041837114168836 0.0712194349924824
"stocking" 0 0.142438869984965
"stone" 0.041837114168836 0.0712194349924824
"truth" 0.00929713648196356 0.126612328875524
"turn" 0.00929713648196356 0.126612328875524
"wretches" 0.083674228337672 0
"yards" 0.083674228337672 0
"bottom" 0.0604313871327631 0.0316530822188811
"figure" 0.0325399776868724 0.0791327055472027
"fish" 0.0464856824098178 0.0553928938830419
"friend" 0.0790256600966902 0
"friends" 0.0371885459278542 0.0712194349924824
"journey" 0.0743770918557084 0.00791327055472027
"kid" 0.0790256600966902 0
"kitchen" 0.00929713648196356 0.118699058320804
"liberty" 0.0790256600966902 0
"lips" 0.00464856824098178 0.126612328875524
"mark" 0.0511342506507996 0.0474796233283216
"meat" 0.0743770918557084 0.00791327055472027
"milk" 0.0325399776868724 0.0791327055472027
"page" 0 0.134525599430245
"peace" 0.0232428412049089 0.0949592466566432
"pot" 0.0650799553737449 0.0237398116641608
"reflection" 0.0557828188917813 0.0395663527736013
"reflections" 0.0697285236147267 0.0158265411094405
"salt" 0.0511342506507996 0.0474796233283216
"sound" 0.0139457047229453 0.110785787766084
"space" 0.00929713648196356 0.118699058320804
"spaniards" 0.0790256600966902 0
"station" 0.0697285236147267 0.0158265411094405
"step" 0.0278914094458907 0.0870459761019229
"town" 0.0185942729639271 0.102872517211363
"vessel" 0.0743770918557084 0.00791327055472027
"violence" 0.0743770918557084 0.00791327055472027
"breath" 0.041837114168836 0.0553928938830419
"fact" 0.00929713648196356 0.110785787766084
"family" 0.0511342506507996 0.0395663527736013
"fate" 0.0511342506507996 0.0395663527736013
"hall" 0 0.126612328875524
"hat" 0.0325399776868724 0.0712194349924824
"hole" 0.0464856824098178 0.0474796233283216
"horse" 0.0650799553737449 0.0158265411094405
"impression" 0.0604313871327631 0.0237398116641608
"ink" 0.0697285236147267 0.00791327055472027
"inside" 0.0697285236147267 0.00791327055472027
"iron" 0.0650799553737449 0.0158265411094405
"june" 0.0697285236147267 0.00791327055472027
"loss" 0.0650799553737449 0.0158265411094405
"mast" 0.0650799553737449 0.0158265411094405
"mercy" 0.0697285236147267 0.00791327055472027
"moidores" 0.0743770918557084 0
"muskets" 0.0743770918557084 0
"observation" 0.0743770918557084 0
"painting" 0 0.126612328875524
"pistol" 0.0743770918557084 0
"plate" 0 0.126612328875524
"presence" 0.0371885459278542 0.0633061644377621
"stroke" 0.00929713648196356 0.110785787766084
"sword" 0.0697285236147267 0.00791327055472027
"waters" 0.0232428412049089 0.0870459761019229
"week" 0.0464856824098178 0.0474796233283216
"abundance" 0.0604313871327631 0.0158265411094405
"ammunition" 0.0697285236147267 0
"answer" 0.0464856824098178 0.0395663527736013
"being" 0.041837114168836 0.0474796233283216
"boards" 0.0557828188917813 0.0237398116641608
"boats" 0.0371885459278542 0.0553928938830419
"bottles" 0.0697285236147267 0
"crop" 0.0697285236147267 0
"destruction" 0.0604313871327631 0.0158265411094405
"effects" 0.0697285236147267 0
"emotion" 0 0.118699058320804
"enemies" 0.0650799553737449 0.00791327055472027
"expedition" 0.0278914094458907 0.0712194349924824
"fields" 0.0139457047229453 0.0949592466566432
"flock" 0.0557828188917813 0.0237398116641608
"gentleman" 0.0185942729639271 0.0870459761019229
"inclination" 0.0697285236147267 0
"islands" 0.0650799553737449 0.00791327055472027
"king" 0.0464856824098178 0.0395663527736013
"knife" 0.0325399776868724 0.0633061644377621
"landing" 0.0325399776868724 0.0633061644377621
"leagues" 0.0697285236147267 0
"misery" 0.0557828188917813 0.0237398116641608
"outside" 0.0650799553737449 0.00791327055472027
"parts" 0.0557828188917813 0.0237398116641608
"passage" 0.041837114168836 0.0474796233283216
"pocket" 0.041837114168836 0.0474796233283216
"servant" 0.0604313871327631 0.0158265411094405
"shawl" 0 0.118699058320804
"shoes" 0.0371885459278542 0.0553928938830419
"thanks" 0.0604313871327631 0.0158265411094405
"weeks" 0.0604313871327631 0.0158265411094405
"whence" 0.0697285236147267 0
"back" 0.0278914094458907 0.0633061644377621
"bower" 0.0650799553737449 0
"breeze" 0.0139457047229453 0.0870459761019229
"candles" 0.041837114168836 0.0395663527736013
"compass" 0.041837114168836 0.0395663527736013
"corner" 0.0278914094458907 0.0633061644377621
"effect" 0.0325399776868724 0.0553928938830419
"fall" 0.0278914094458907 0.0633061644377621
"fellows" 0.0557828188917813 0.0158265411094405
"fishing" 0.0325399776868724 0.0553928938830419
"hatchet" 0.0650799553737449 0
"justice" 0.0511342506507996 0.0237398116641608
"knee" 0.00929713648196356 0.0949592466566432
"laugh" 0.0371885459278542 0.0474796233283216
"mans" 0.0650799553737449 0
"marriage" 0 0.110785787766084
"meaning" 0.0232428412049089 0.0712194349924824
"meantime" 0.0650799553737449 0
"moon" 0.0185942729639271 0.0791327055472027
"no" 0.0232428412049089 0.0712194349924824
"paint" 0 0.110785787766084
"pistols" 0.0650799553737449 0
"places" 0.041837114168836 0.0395663527736013
"posture" 0.0650799553737449 0
"pots" 0.0557828188917813 0.0158265411094405
"relations" 0.0232428412049089 0.0712194349924824
"right" 0.0371885459278542 0.0474796233283216
"shade" 0.0371885459278542 0.0474796233283216
"shelter" 0.041837114168836 0.0395663527736013
"terror" 0.0557828188917813 0.0158265411094405
"windows" 0 0.110785787766084
"winter" 0.0325399776868724 0.0553928938830419
"advice" 0.0604313871327631 0
"affection" 0.0464856824098178 0.0237398116641608
"affliction" 0.0604313871327631 0
"appearance" 0.0511342506507996 0.0158265411094405
"bit" 0.0325399776868724 0.0474796233283216
"bullets" 0.0604313871327631 0
"chest" 0.0511342506507996 0.0158265411094405
"courage" 0.041837114168836 0.0316530822188811
"direction" 0.0371885459278542 0.0395663527736013
"discovery" 0.0557828188917813 0.00791327055472027
"eddy" 0.0464856824098178 0.0237398116641608
"entrance" 0.0604313871327631 0
"flood" 0.0464856824098178 0.0237398116641608
"force" 0.0464856824098178 0.0237398116641608
"friendship" 0.0139457047229453 0.0791327055472027
"girl" 0 0.102872517211363
"gratitude" 0.0325399776868724 0.0474796233283216
"happiness" 0.0185942729639271 0.0712194349924824
"hills" 0.0371885459278542 0.0395663527736013
"horses" 0.0464856824098178 0.0237398116641608
"league" 0.0604313871327631 0
"minutes" 0.0464856824098178 0.0237398116641608
"necessity" 0.0557828188917813 0.00791327055472027
"notice" 0.0604313871327631 0
"occasions" 0.0557828188917813 0.00791327055472027
"parcel" 0.0278914094458907 0.0553928938830419
"pipe" 0.0185942729639271 0.0712194349924824
"pool" 0 0.102872517211363
"print" 0.0604313871327631 0
"prospect" 0.0604313871327631 0
"raisins" 0.0604313871327631 0
"religion" 0.0604313871327631 0
"satisfaction" 0.0464856824098178 0.0237398116641608
"scene" 0.00929713648196356 0.0870459761019229
"shell" 0.00929713648196356 0.0870459761019229
"sides" 0.0464856824098178 0.0237398116641608
"spot" 0.0325399776868724 0.0474796233283216
"sugar" 0.0604313871327631 0
"war" 0.0371885459278542 0.0395663527736013
"age" 0.0185942729639271 0.0633061644377621
"anybody" 0.0139457047229453 0.0712194349924824
"beast" 0.041837114168836 0.0237398116641608
"bedroom" 0 0.0949592466566432
"beginning" 0.0511342506507996 0.00791327055472027
"branches" 0.0278914094458907 0.0474796233283216
"call" 0.0464856824098178 0.0158265411094405
"chairs" 0 0.0949592466566432
"chance" 0.00929713648196356 0.0791327055472027
"charge" 0.041837114168836 0.0237398116641608
"cliff" 0 0.0949592466566432
"coat" 0.0185942729639271 0.0633061644377621
"coffee" 0.00464856824098178 0.0870459761019229
"defence" 0.0557828188917813 0
"degrees" 0.0557828188917813 0
"drawers" 0.0278914094458907 0.0474796233283216
"easel" 0 0.0949592466566432
"enclosure" 0.0557828188917813 0
"fortification" 0.0557828188917813 0
"fowls" 0.0557828188917813 0
"front" 0.00929713648196356 0.0791327055472027
"goodness" 0.0325399776868724 0.0395663527736013
"harvest" 0.0464856824098178 0.0158265411094405
"heads" 0.0325399776868724 0.0395663527736013
"instance" 0.00464856824098178 0.0870459761019229
"intensity" 0 0.0949592466566432
"knees" 0.0325399776868724 0.0395663527736013
"lamp" 0.0185942729639271 0.0633061644377621
"left" 0.0371885459278542 0.0316530822188811
"leg" 0.0232428412049089 0.0553928938830419
"lot" 0.041837114168836 0.0237398116641608
"patron" 0.0557828188917813 0
"possession" 0.0511342506507996 0.00791327055472027
"post" 0.041837114168836 0.0237398116641608
"rate" 0.0278914094458907 0.0474796233283216
"sailor" 0.041837114168836 0.0237398116641608
"society" 0.0511342506507996 0.00791327055472027
"speed" 0.0325399776868724 0.0395663527736013
"store" 0.0511342506507996 0.00791327055472027
"supply" 0.0557828188917813 0
"tea" 0 0.0949592466566432
"west" 0.0464856824098178 0.0158265411094405
"adventure" 0.0278914094458907 0.0395663527736013
"attempt" 0.041837114168836 0.0158265411094405
"bones" 0.0278914094458907 0.0395663527736013
"bottle" 0.0511342506507996 0
"brooch" 0 0.0870459761019229
"cap" 0.041837114168836 0.0158265411094405
"cats" 0.0511342506507996 0
"change" 0.00464856824098178 0.0791327055472027
"confusion" 0.0371885459278542 0.0237398116641608
"delight" 0.0139457047229453 0.0633061644377621
"dress" 0.0139457047229453 0.0633061644377621
"ear" 0.0232428412049089 0.0474796233283216
"earthen" 0.0511342506507996 0
"effort" 0 0.0870459761019229
"enemy" 0.0464856824098178 0.00791327055472027
"example" 0.0278914094458907 0.0395663527736013
"flower" 0 0.0870459761019229
"forehead" 0.00464856824098178 0.0791327055472027
"government" 0.0325399776868724 0.0316530822188811
"imagination" 0.0371885459278542 0.0237398116641608
"latitude" 0.0511342506507996 0
"letter" 0.0278914094458907 0.0395663527736013
"movement" 0 0.0870459761019229
"necessaries" 0.0511342506507996 0
"nonsense" 0 0.0870459761019229
"orders" 0.0464856824098178 0.00791327055472027
"parcels" 0.0185942729639271 0.0553928938830419
"partner" 0.0511342506507996 0
"piles" 0.0511342506507996 0
"resolution" 0.0511342506507996 0
"rope" 0.041837114168836 0.0158265411094405
"self" 0.00929713648196356 0.0712194349924824
"september" 0.041837114168836 0.0158265411094405
"sir" 0.0371885459278542 0.0237398116641608
"spirit" 0.0371885459278542 0.0237398116641608
"steps" 0.0185942729639271 0.0553928938830419
"stern" 0.0464856824098178 0.00791327055472027
"timber" 0.0511342506507996 0
"trade" 0.0464856824098178 0.00791327055472027
"turtle" 0.0511342506507996 0
"value" 0.0464856824098178 0.00791327055472027
"vision" 0.00464856824098178 0.0791327055472027
"waste" 0.00929713648196356 0.0712194349924824
"wheel" 0.0232428412049089 0.0474796233283216
"will" 0.041837114168836 0.0158265411094405
"winds" 0.0464856824098178 0.00791327055472027
"africa" 0.0464856824098178 0
"art" 0.0325399776868724 0.0237398116641608
"bedrooms" 0 0.0791327055472027
"biscuit" 0.0371885459278542 0.0158265411094405
"cause" 0.0371885459278542 0.0158265411094405
"conscience" 0.0464856824098178 0
"consideration" 0.0371885459278542 0.0158265411094405
"conversation" 0.0278914094458907 0.0316530822188811
"currents" 0.041837114168836 0.00791327055472027
"dark" 0.0139457047229453 0.0553928938830419
"despair" 0.041837114168836 0.00791327055472027
"dozen" 0.0464856824098178 0
"employment" 0.041837114168836 0.00791327055472027
"fault" 0.0139457047229453 0.0553928938830419
"form" 0.0232428412049089 0.0395663527736013
"fright" 0.0464856824098178 0
"guinea" 0.0464856824098178 0
"hazard" 0.0464856824098178 0
"heap" 0.041837114168836 0.00791327055472027
"inches" 0.0371885459278542 0.0158265411094405
"jars" 0.0464856824098178 0
"kids" 0.0464856824098178 0
"leather" 0.00464856824098178 0.0712194349924824
"mainland" 0.0464856824098178 0
"meal" 0.0325399776868724 0.0237398116641608
"method" 0.0464856824098178 0
"mine" 0.0464856824098178 0
"miseries" 0.041837114168836 0.00791327055472027
"motion" 0.041837114168836 0.00791327055472027
"mountain" 0.0139457047229453 0.0553928938830419
"nose" 0.0185942729639271 0.0474796233283216
"notions" 0.041837114168836 0.00791327055472027
"object" 0.0139457047229453 0.0553928938830419
"parrot" 0.0371885459278542 0.0158265411094405
"patience" 0.0464856824098178 0
"poetry" 0 0.0791327055472027
"problem" 0 0.0791327055472027
"rains" 0.0464856824098178 0
"reading" 0.00464856824098178 0.0712194349924824
"rooms" 0 0.0791327055472027
"saw" 0.041837114168836 0.00791327055472027
"search" 0.0232428412049089 0.0395663527736013
"skins" 0.0278914094458907 0.0316530822188811
"sorts" 0.0325399776868724 0.0237398116641608
"stars" 0.0139457047229453 0.0553928938830419
"straw" 0.0232428412049089 0.0395663527736013
"stream" 0.0371885459278542 0.0158265411094405
"success" 0.0325399776868724 0.0237398116641608
"surface" 0.0139457047229453 0.0553928938830419
"tables" 0 0.0791327055472027
"trustees" 0.0464856824098178 0
"valley" 0.0185942729639271 0.0474796233283216
"wicker" 0.0325399776868724 0.0237398116641608
"wings" 0.00464856824098178 0.0712194349924824
"adventures" 0.0371885459278542 0.00791327055472027
"affair" 0.0325399776868724 0.0158265411094405
"affairs" 0.0371885459278542 0.00791327055472027
"afternoon" 0.0278914094458907 0.0237398116641608
"america" 0.041837114168836 0
"april" 0.041837114168836 0
"attention" 0.00929713648196356 0.0553928938830419
"barrel" 0.041837114168836 0
"baskets" 0.041837114168836 0
"battle" 0.0371885459278542 0.00791327055472027
"belt" 0.041837114168836 0
"blessing" 0.041837114168836 0
"blow" 0.0371885459278542 0.00791327055472027
"bodies" 0.0371885459278542 0.00791327055472027
"breach" 0.041837114168836 0
"cheese" 0.0232428412049089 0.0316530822188811
"christ" 0.0371885459278542 0.00791327055472027
"comrades" 0.041837114168836 0
"crew" 0.041837114168836 0
"crusoe" 0.041837114168836 0
"daughter" 0.00464856824098178 0.0633061644377621
